"","term","gene"
"292","GOBP_DNA_DAMAGE_RESPONSE","Gm9049"
"293","GOBP_DNA_DAMAGE_RESPONSE","Gnl1"
"294","GOBP_DNA_DAMAGE_RESPONSE","Grb2"
"295","GOBP_DNA_DAMAGE_RESPONSE","Gtf2h1"
"296","GOBP_DNA_DAMAGE_RESPONSE","Gtf2h2"
"297","GOBP_DNA_DAMAGE_RESPONSE","Gtf2h3"
"298","GOBP_DNA_DAMAGE_RESPONSE","Gtf2h4"
"299","GOBP_DNA_DAMAGE_RESPONSE","Gtf2h5"
"300","GOBP_DNA_DAMAGE_RESPONSE","H2ac25"
"301","GOBP_DNA_DAMAGE_RESPONSE","H2ax"
"302","GOBP_DNA_DAMAGE_RESPONSE","Hdac10"
"303","GOBP_DNA_DAMAGE_RESPONSE","Hdac3"
"304","GOBP_DNA_DAMAGE_RESPONSE","Hdac9"
"305","GOBP_DNA_DAMAGE_RESPONSE","Hdgfl2"
"306","GOBP_DNA_DAMAGE_RESPONSE","Helb"
"307","GOBP_DNA_DAMAGE_RESPONSE","Helq"
"308","GOBP_DNA_DAMAGE_RESPONSE","Herc2"
"309","GOBP_DNA_DAMAGE_RESPONSE","Hic1"
"310","GOBP_DNA_DAMAGE_RESPONSE","Hinfp"
"311","GOBP_DNA_DAMAGE_RESPONSE","Hipk1"
"312","GOBP_DNA_DAMAGE_RESPONSE","Hipk2"
"313","GOBP_DNA_DAMAGE_RESPONSE","Hltf"
"314","GOBP_DNA_DAMAGE_RESPONSE","Hmces"
"315","GOBP_DNA_DAMAGE_RESPONSE","Hmga1"
"316","GOBP_DNA_DAMAGE_RESPONSE","Hmga1b"
"317","GOBP_DNA_DAMAGE_RESPONSE","Hmga2"
"318","GOBP_DNA_DAMAGE_RESPONSE","Hmgb1"
"319","GOBP_DNA_DAMAGE_RESPONSE","Hmgn1"
"320","GOBP_DNA_DAMAGE_RESPONSE","Hmox1"
"321","GOBP_DNA_DAMAGE_RESPONSE","Hnrnpk"
"322","GOBP_DNA_DAMAGE_RESPONSE","Hpf1"
"323","GOBP_DNA_DAMAGE_RESPONSE","Hrob"
"324","GOBP_DNA_DAMAGE_RESPONSE","Hsf1"
"325","GOBP_DNA_DAMAGE_RESPONSE","Hsf2bp"
"326","GOBP_DNA_DAMAGE_RESPONSE","Hspa1a"
"327","GOBP_DNA_DAMAGE_RESPONSE","Htra2"
"328","GOBP_DNA_DAMAGE_RESPONSE","Hus1"
"329","GOBP_DNA_DAMAGE_RESPONSE","Hus1b"
"330","GOBP_DNA_DAMAGE_RESPONSE","Huwe1"
"331","GOBP_DNA_DAMAGE_RESPONSE","Ier3"
"332","GOBP_DNA_DAMAGE_RESPONSE","Iffo1"
"333","GOBP_DNA_DAMAGE_RESPONSE","Ifi204"
"334","GOBP_DNA_DAMAGE_RESPONSE","Ikbke"
"335","GOBP_DNA_DAMAGE_RESPONSE","Ikbkg"
"336","GOBP_DNA_DAMAGE_RESPONSE","Immp2l"
"337","GOBP_DNA_DAMAGE_RESPONSE","Ing3"
"338","GOBP_DNA_DAMAGE_RESPONSE","Ing4"
"339","GOBP_DNA_DAMAGE_RESPONSE","Inip"
"340","GOBP_DNA_DAMAGE_RESPONSE","Ino80"
"341","GOBP_DNA_DAMAGE_RESPONSE","Ino80b"
"342","GOBP_DNA_DAMAGE_RESPONSE","Ino80c"
"343","GOBP_DNA_DAMAGE_RESPONSE","Ino80d"
"344","GOBP_DNA_DAMAGE_RESPONSE","Ino80e"
"345","GOBP_DNA_DAMAGE_RESPONSE","Ints3"
"346","GOBP_DNA_DAMAGE_RESPONSE","Ints7"
"347","GOBP_DNA_DAMAGE_RESPONSE","Jmy"
"348","GOBP_DNA_DAMAGE_RESPONSE","Kash5"
"349","GOBP_DNA_DAMAGE_RESPONSE","Kat2a"
"350","GOBP_DNA_DAMAGE_RESPONSE","Kat2b"
"351","GOBP_DNA_DAMAGE_RESPONSE","Kat5"
"352","GOBP_DNA_DAMAGE_RESPONSE","Kat7"
"353","GOBP_DNA_DAMAGE_RESPONSE","Kdm1a"
"354","GOBP_DNA_DAMAGE_RESPONSE","Kdm2a"
"355","GOBP_DNA_DAMAGE_RESPONSE","Kdm4d"
"356","GOBP_DNA_DAMAGE_RESPONSE","Khdc3"
"357","GOBP_DNA_DAMAGE_RESPONSE","Kif22"
"358","GOBP_DNA_DAMAGE_RESPONSE","Kin"
"359","GOBP_DNA_DAMAGE_RESPONSE","Klhl15"
"360","GOBP_DNA_DAMAGE_RESPONSE","Kmt5a"
"361","GOBP_DNA_DAMAGE_RESPONSE","Kmt5b"
"362","GOBP_DNA_DAMAGE_RESPONSE","Kmt5c"
"363","GOBP_DNA_DAMAGE_RESPONSE","Lig1"
"364","GOBP_DNA_DAMAGE_RESPONSE","Lig3"
"365","GOBP_DNA_DAMAGE_RESPONSE","Lig4"
"366","GOBP_DNA_DAMAGE_RESPONSE","Lyn"
"367","GOBP_DNA_DAMAGE_RESPONSE","Macrod1"
"368","GOBP_DNA_DAMAGE_RESPONSE","Macrod2"
"369","GOBP_DNA_DAMAGE_RESPONSE","Macroh2a1"
"370","GOBP_DNA_DAMAGE_RESPONSE","Mad2l2"
"371","GOBP_DNA_DAMAGE_RESPONSE","Mael"
"372","GOBP_DNA_DAMAGE_RESPONSE","Majin"
"373","GOBP_DNA_DAMAGE_RESPONSE","Map3k20"
"374","GOBP_DNA_DAMAGE_RESPONSE","Mapk1"
"375","GOBP_DNA_DAMAGE_RESPONSE","Mapk14"
"376","GOBP_DNA_DAMAGE_RESPONSE","Mapk15"
"377","GOBP_DNA_DAMAGE_RESPONSE","Mapk3"
"378","GOBP_DNA_DAMAGE_RESPONSE","Mapkapk2"
"379","GOBP_DNA_DAMAGE_RESPONSE","Mapt"
"380","GOBP_DNA_DAMAGE_RESPONSE","Marchf7"
"381","GOBP_DNA_DAMAGE_RESPONSE","Marf1"
"382","GOBP_DNA_DAMAGE_RESPONSE","Mbd4"
"383","GOBP_DNA_DAMAGE_RESPONSE","Mbtd1"
"384","GOBP_DNA_DAMAGE_RESPONSE","Mbtps1"
"385","GOBP_DNA_DAMAGE_RESPONSE","Mbtps2"
"386","GOBP_DNA_DAMAGE_RESPONSE","Mc1r"
"387","GOBP_DNA_DAMAGE_RESPONSE","Mcl1"
"388","GOBP_DNA_DAMAGE_RESPONSE","Mcm10"
"389","GOBP_DNA_DAMAGE_RESPONSE","Mcm2"
"390","GOBP_DNA_DAMAGE_RESPONSE","Mcm3"
"391","GOBP_DNA_DAMAGE_RESPONSE","Mcm4"
"392","GOBP_DNA_DAMAGE_RESPONSE","Mcm5"
"393","GOBP_DNA_DAMAGE_RESPONSE","Mcm6"
"394","GOBP_DNA_DAMAGE_RESPONSE","Mcm7"
"395","GOBP_DNA_DAMAGE_RESPONSE","Mcm8"
"396","GOBP_DNA_DAMAGE_RESPONSE","Mcm9"
"397","GOBP_DNA_DAMAGE_RESPONSE","Mcmdc2"
"398","GOBP_DNA_DAMAGE_RESPONSE","Mcrs1"
"399","GOBP_DNA_DAMAGE_RESPONSE","Mcts1"
"400","GOBP_DNA_DAMAGE_RESPONSE","Mdc1"
"401","GOBP_DNA_DAMAGE_RESPONSE","Mdm2"
"402","GOBP_DNA_DAMAGE_RESPONSE","Meaf6"
"403","GOBP_DNA_DAMAGE_RESPONSE","Meiob"
"404","GOBP_DNA_DAMAGE_RESPONSE","Meioc"
"405","GOBP_DNA_DAMAGE_RESPONSE","Men1"
"406","GOBP_DNA_DAMAGE_RESPONSE","Mettl3"
"407","GOBP_DNA_DAMAGE_RESPONSE","Mgme1"
"408","GOBP_DNA_DAMAGE_RESPONSE","Mgmt"
"409","GOBP_DNA_DAMAGE_RESPONSE","Mif"
"410","GOBP_DNA_DAMAGE_RESPONSE","Mlh1"
"411","GOBP_DNA_DAMAGE_RESPONSE","Mlh3"
"412","GOBP_DNA_DAMAGE_RESPONSE","Mlst8"
"413","GOBP_DNA_DAMAGE_RESPONSE","Mms19"
"414","GOBP_DNA_DAMAGE_RESPONSE","Mms22l"
"415","GOBP_DNA_DAMAGE_RESPONSE","Mnat1"
"416","GOBP_DNA_DAMAGE_RESPONSE","Moap1"
"417","GOBP_DNA_DAMAGE_RESPONSE","Morc2a"
"418","GOBP_DNA_DAMAGE_RESPONSE","Morc2b"
"419","GOBP_DNA_DAMAGE_RESPONSE","Morf4l1"
